Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-fhir.example.json	1502	-	0	0	0	0	0	0	4	34	0	0	0	0	0	0	0	1	0	0	42	39	0	0	0	1	0	1
fsh-generated/resources/Patient-PatientExample.json	249	8	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	6	9	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-MyPatient.json	597	7	0	0	0	0	0	47	0	32	0	0	1	0	0	0	0	0	0	0	142	1798	0	0	0	4	0	1
